Date,Close
31-Dec-15,104.69
30-Dec-15,104.12
29-Dec-15,104.16
28-Dec-15,103.37
24-Dec-15,103.32
23-Dec-15,103.63
22-Dec-15,103.32
21-Dec-15,103.29
18-Dec-15,104.12
17-Dec-15,103.09
16-Dec-15,104.54
15-Dec-15,101.88
14-Dec-15,101.00
11-Dec-15,99.08
10-Dec-15,100.59
9-Dec-15,100.58
8-Dec-15,100.10
7-Dec-15,99.73
4-Dec-15,98.90
3-Dec-15,99.71
2-Dec-15,102.21
1-Dec-15,104.08
30-Nov-15,104.45
27-Nov-15,103.95
26-Nov-15,104.70
25-Nov-15,104.99
24-Nov-15,103.77
23-Nov-15,104.51
20-Nov-15,106.00
19-Nov-15,104.13
18-Nov-15,102.46
17-Nov-15,101.81
13-Nov-15,103.62
12-Nov-15,101.82
11-Nov-15,104.01
10-Nov-15,101.82
9-Nov-15,102.78
6-Nov-15,104.32
5-Nov-15,105.00
4-Nov-15,105.05
3-Nov-15,104.58
30-Oct-15,105.51
29-Oct-15,102.15
28-Oct-15,103.50
27-Oct-15,106.00
26-Oct-15,105.51
23-Oct-15,101.98
22-Oct-15,100.65
21-Oct-15,101.75
20-Oct-15,102.78
19-Oct-15,101.74
16-Oct-15,101.10
15-Oct-15,100.12
14-Oct-15,96.99
13-Oct-15,97.48
12-Oct-15,98.36
9-Oct-15,97.18
8-Oct-15,96.22
7-Oct-15,95.99
6-Oct-15,95.15
5-Oct-15,95.40
2-Oct-15,94.50
1-Oct-15,95.27
30-Sep-15,95.20
29-Sep-15,93.52
28-Sep-15,92.77
25-Sep-15,93.21
24-Sep-15,94.74
23-Sep-15,95.12
22-Sep-15,94.56
21-Sep-15,94.94
18-Sep-15,94.67
17-Sep-15,94.33
15-Sep-15,93.34
14-Sep-15,94.83
11-Sep-15,94.16
10-Sep-15,96.99
9-Sep-15,94.70
8-Sep-15,95.20
7-Sep-15,95.60
4-Sep-15,95.34
3-Sep-15,96.50
2-Sep-15,95.94
1-Sep-15,95.73
31-Aug-15,96.68
28-Aug-15,93.98
27-Aug-15,94.10
26-Aug-15,91.18
25-Aug-15,90.25
24-Aug-15,89.49
21-Aug-15,91.52
20-Aug-15,92.94
19-Aug-15,94.24
18-Aug-15,96.28
17-Aug-15,94.93
14-Aug-15,92.91
13-Aug-15,92.30
12-Aug-15,94.45
11-Aug-15,96.38
10-Aug-15,96.10
7-Aug-15,95.01
6-Aug-15,95.02
5-Aug-15,97.81
4-Aug-15,97.87
3-Aug-15,95.89
31-Jul-15,96.77
30-Jul-15,95.10
29-Jul-15,95.98
28-Jul-15,93.64
27-Jul-15,94.02
24-Jul-15,95.00
23-Jul-15,96.88
22-Jul-15,97.46
21-Jul-15,98.00
20-Jul-15,95.81
